id,name,joined_at
a958931f-8fd8-4cf5-bc84-3d26ec6c8b2c,Dayita Madan,2025-12-15T06:06:26
12f471d0-172f-4881-89c4-3c8084c54bbd,Xiti Malhotra,2025-12-22T13:10:30
99da5a1f-7a64-4d75-bc0a-8af81e937b9e,Qasim Sridhar,2024-08-08T20:30:37
ddf12581-1491-4b16-9334-0616f47e096b,Rachana Bawa,2025-09-23T16:45:59
3c684593-6fa8-4f93-aace-e68a57c3ced1,Nidra Sehgal,2023-07-12T07:51:19
8f3cbf3f-bb0e-4be8-8ddc-b66825b782d4,Faqid Kale,2025-11-27T12:23:44
bac78688-57ca-4982-a6fd-5f10cf8f718b,Abhimanyu Sheth,2023-06-15T05:40:06
93cea45b-1928-4b30-bb8a-fb1feb84c8e9,Mason Arora,2023-08-05T13:09:55
0427cb6e-b3f5-4dd0-b02d-60463a1d8722,Vasudha Shukla,2025-03-10T11:26:33
273f4752-d2e6-4448-97ad-a7138d33eb15,Chakrika Hayre,2023-02-02T12:47:56
8a55da88-f609-45d8-847c-da941840dc43,Lekha Dua,2025-05-01T09:59:15
41cff916-e8f2-4ebf-b8f2-a6b25df0f00a,Rayaan Bedi,2024-09-05T10:06:17
0c91de75-9d8f-4ab5-9d51-d8f65c8c9ba5,Zinal Bedi,2023-03-01T14:27:54
cf30f788-c4a8-4640-ad8e-aa28a3da83cc,Ryan Pandya,2025-04-10T20:35:24
4184fbd7-5398-4309-84b3-e817ed2a3280,Logan Wali,2025-01-21T22:18:20
679995ad-3afc-4196-80b6-f4c4b9c9ccfd,Maanas Amble,2024-06-07T21:55:07
af1ec36f-7c73-4681-9236-54a610ceaada,Pushti Bora,2023-01-13T10:25:02
65d5de81-2175-4d3c-a303-2c9b5dddfc34,Ikshita Sur,2025-05-30T09:13:46
b23f9d02-00db-404b-8050-3a51f9232cf4,Rehaan Dube,2024-05-13T18:44:33
37fd7bbb-b21c-41c9-af73-e341287ac7e6,Wishi Singh,2024-01-28T08:10:14
467371f8-eb9f-4000-8582-b14928536fe2,Ayush Bath,2025-04-11T02:00:42
b0a6032d-d26b-4acf-99ca-83d12c7ec75a,Ridhi Sankaran,2024-08-17T16:00:23
e28fc598-dabc-4e6f-8127-b8731e314b78,Yatan Natt,2023-08-01T20:31:00
82bf2eb6-05c4-4b88-8626-f3b5ab561521,Chanchal Talwar,2023-10-13T08:56:55
f0c48cc5-d0cf-4524-bfbb-5c7f6ecc5bf1,Vivaan Sengupta,2023-07-27T09:07:01
4abad3b1-a718-4a1f-87d4-52d354ea1aa7,Yug Chokshi,2025-04-01T19:43:15
45ac5901-6b6e-4ec8-9fa0-a3bc770c49b9,Jonathan Datta,2025-08-30T18:23:34
e540d61e-fcf6-46c4-871e-efa2d34d48e3,Akshay Naik,2025-07-28T18:51:24
34dadd9b-7eb6-461b-b65c-9b99d9a28bda,Shaurya Thakkar,2023-12-20T17:36:56
de3679fa-61c1-41b4-b631-5fa974bcad5c,Idika Bhargava,2026-01-12T18:24:50
58b1ac66-bdbc-4019-a81b-25d297374c21,Bhavani Chauhan,2024-10-10T11:32:32
